,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-04-01,4358X,DON BENITO,BADAJOZ,273,"12,2","0,0","6,5",06:30,"18,0",15:00,34,"2,2","8,6",16:30,"9,9","986,0",24,"979,7",02
1,2022-04-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"10,0","0,4","4,0",06:00,"15,9",14:40,,,,,,,,,
2,2022-04-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"14,3","0,0","11,7",Varias,"16,9",12:03,,,,,"5,9",,,,
3,2022-04-01,6106X,ANTEQUERA,MALAGA,408,"11,0","0,0","6,4",06:20,"15,6",16:00,31,"1,7","8,3",13:40,,"967,4",24,"963,8",04
4,2022-04-01,9698U,TALARN,LLEIDA,807,"2,8","0,0","-1,2",23:50,"6,7",14:00,32,"7,2","18,9",08:40,,,,,
5,2022-04-01,4410X,MÉRIDA,BADAJOZ,228,"10,6","0,0","3,6",23:59,"17,5",14:50,32,"2,5","8,3",16:20,,,,,
6,2022-04-01,1331A,CASTROPOL,ASTURIAS,40,"8,4","3,8","4,2",06:40,"12,7",15:20,31,"1,9","10,8",12:00,,,,,
7,2022-04-01,1690A,OURENSE,OURENSE,143,"7,8","0,0","1,8",07:00,"13,7",14:50,06,"1,4","7,2",10:30,"8,8","1005,3",Varias,"997,8",00
8,2022-04-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"1,5","0,0","-2,0",23:59,"5,0",14:50,32,"12,8","26,7",07:50,"10,8","884,2",23,"876,1",05
9,2022-04-01,8025,ALACANT/ALICANTE,ALICANTE,81,"14,7","0,0","9,9",22:10,"19,5",13:30,25,"2,5","10,3",01:40,"10,6","1006,9",24,"996,1",03
10,2022-04-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"19,4","0,0","17,9",05:30,"21,0",12:20,07,"3,9","9,4",15:10,"7,3","1015,4",00,"1010,8",17
11,2022-04-01,9784P,BIELSA,HUESCA,992,"1,0","1,2","-2,9",Varias,"4,9",00:10,,,,,,"897,5",20,"890,5",00
12,2022-04-01,2331,BURGOS AEROPUERTO,BURGOS,891,"1,2","0,2","-2,1",21:30,"4,4",13:50,02,"4,4","13,3",02:10,"5,7","916,0",24,"909,0",00
13,2022-04-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,0",Ip,"3,7",22:50,"10,2",14:20,30,"8,6","19,2",14:00,"10,3","987,2",24,"977,9",00
14,2022-04-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"8,4","4,8","5,8",11:30,"11,0",15:00,02,"5,6","15,0",08:01,"5,0","1022,1",24,"1016,0",00
15,2022-04-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"13,6","0,2","7,7",05:50,"19,6",12:00,28,"4,2","15,0",00:10,"10,5","1014,5",Varias,"1007,5",00
16,2022-04-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"7,0","5,5","4,0",12:42,"9,9",15:31,99,"2,5","9,7",01:17,"5,1","1008,1",Varias,"1002,5",01
17,2022-04-01,9394X,CALATAYUD,ZARAGOZA,582,"4,2","0,6","0,0",23:59,"8,3",13:40,34,"5,0","15,8",17:10,"9,5","949,0",22,"939,8",00
18,2022-04-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,34,"5,0","15,6",11:20,"8,8","922,9",24,"914,3",00
19,2022-04-01,1059X,PUNTA GALEA,BIZKAIA,90,"7,6","4,6","4,9",18:00,"10,4",14:50,05,"4,4","16,9",07:00,,"1011,3",24,"1004,4",00
20,2022-04-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"7,6","9,0","4,5",23:00,"10,7",14:10,34,"2,8","11,4",09:00,"6,0","1020,6",21,"1014,4",00
21,2022-04-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"13,3","0,0","8,5",23:59,"18,1",15:40,99,"3,6","12,2",Varias,,"981,3",23,"972,9",04
22,2022-04-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"13,9","0,0","9,4",23:59,"18,4",15:30,01,"5,3","12,8",07:52,"7,3","1008,7",24,"998,7",03
23,2022-04-01,7002Y,ÁGUILAS,MURCIA,26,"14,8","0,0","10,3",06:30,"19,3",10:00,30,"1,9","10,6",02:30,"4,6","1013,2",24,"1003,7",02
24,2022-04-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,2","0,0","16,8",07:40,"21,6",14:00,01,"8,9","13,9",10:22,"8,9","1013,9",00,"1009,4",17
25,2022-04-01,3191E,COLMENAR VIEJO,MADRID,1004,"2,8",Ip,"-0,9",22:40,"6,4",Varias,35,"5,3","13,3",06:40,"7,7","902,4",24,"894,1",00
26,2022-04-01,0016A,REUS AEROPUERTO,TARRAGONA,71,"9,7","0,0","5,1",23:52,"14,3",13:38,29,"9,7","22,2",Varias,"12,0","1003,0",Varias,"990,9",02
27,2022-04-01,8058X,OLIVA,VALENCIA,5,"11,6","0,0","7,2",23:59,"15,9",14:50,,,,,,,,,
28,2022-04-01,0367,GIRONA AEROPUERTO,GIRONA,143,"7,6","0,0","0,7",23:21,"14,5",11:47,12,"4,2","11,7",12:26,"8,1","993,3",Varias,"984,4",04
29,2022-04-01,7247X,EL PINÓS/PINOSO,ALICANTE,575,"9,8","0,0","5,8",23:59,"13,7",13:30,32,"3,3","12,5",10:10,,,,,
