,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
3,2022-01-01,ANTEQUERA,MALAGA,408,"12,6","0,0","5,8","19,3","1,1","9,7"
15,2022-01-01,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
21,2022-01-01,HUÉRCAL-OVERA,ALMERIA,300,"12,0","0,0","4,7","19,3","1,1","4,4"
43,2022-01-01,ADRA,ALMERIA,8,"14,6","0,0","11,1","18,2","0,8","2,8"
47,2022-01-01,SANTA ELENA,JAEN,770,"15,4","0,0","10,8","20,1","1,4","5,3"
49,2022-01-01,ARROYO DEL OJANCO,JAEN,580,"14,3","0,0","5,3","23,3",,
58,2022-01-01,GRANADA BASE AÉREA,GRANADA,687,"12,4","0,0","2,5","22,3","1,7","4,4"
61,2022-01-01,"MOGUER, EL ARENOSILLO",HUELVA,41,"12,7","0,0","8,1","17,3","1,4","5,6"
67,2022-01-01,VEJER DE LA FRONTERA,CADIZ,186,"13,6","0,0","10,0","17,1","2,5","10,8"
71,2022-01-01,DOÑA MENCÍA,CORDOBA,650,"18,6","0,0","14,2","22,9","1,1","5,6"
76,2022-01-01,CÓRDOBA AEROPUERTO,CORDOBA,90,"13,2","0,0","4,8","21,7","1,4","5,8"
78,2022-01-01,ÉCIJA,SEVILLA,130,"16,0","0,0","6,9","25,0","1,9","4,7"
81,2022-01-01,ESTEPONA,MALAGA,19,"13,6","0,0","11,6","15,5","1,9","7,5"
87,2022-01-01,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"12,8","0,1","5,4","20,2","2,2","5,8"
91,2022-01-01,MORÓN DE LA FRONTERA,SEVILLA,87,"12,4","0,0","5,5","19,3","0,8","3,6"
92,2022-01-01,BAZA,GRANADA,785,"11,4","0,0","-0,9","23,6","1,9","5,8"
93,2022-01-01,SAN FERNANDO,CADIZ,28,"15,0","0,0","10,9","19,1","2,8","8,9"
109,2022-01-01,HINOJOSA DEL DUQUE,CORDOBA,551,"11,2","0,0","3,5","18,8","0,8","3,3"
115,2022-01-01,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"17,6","0,0","11,3","24,0","1,7","6,9"
122,2022-01-01,CAZALLA DE LA SIERRA,SEVILLA,550,"13,9","0,0","4,2","23,6","1,7","5,6"
