,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-08-01,4358X,DON BENITO,BADAJOZ,273,"33,8","0,0","25,4",05:50,"42,2",15:10,25,"1,1","7,2",22:30,"11,5","983,5",10,"979,8",18
1,2022-08-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"31,5","0,0","21,4",04:10,"41,6",15:00,,,,,,,,,
2,2022-08-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"20,0","0,0","17,0",04:15,"23,0",12:52,99,"8,3","13,3",Varias,"10,5","947,0",Varias,"945,2",19
3,2022-08-01,6106X,ANTEQUERA,MALAGA,408,"27,8","0,0","22,4",05:20,"33,3",15:20,15,"3,3","11,1",13:10,,"969,0",Varias,"966,5",17
4,2022-08-01,9698U,TALARN,LLEIDA,807,"25,2","0,0","17,5",05:00,"33,0",14:50,18,"3,1","10,6",13:50,,,,,
5,2022-08-01,4410X,MÉRIDA,BADAJOZ,228,"31,7","0,0","21,6",06:00,"41,8",16:00,99,"1,9","5,8",22:40,,,,,
6,2022-08-01,1331A,CASTROPOL,ASTURIAS,40,"21,4","0,0","18,8",04:30,"24,0",14:50,08,"3,1","11,9",12:00,,,,,
7,2022-08-01,1690A,OURENSE,OURENSE,143,"29,4","0,0","18,4",06:00,"40,4",16:00,32,"1,4","5,8",15:10,"12,7","999,6",06,"994,5",16
8,2022-08-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"21,8","0,0","15,9",05:00,"27,7",11:10,10,"2,5","7,5",10:50,"5,6","894,4",10,"893,0",16
9,2022-08-01,8025,ALACANT/ALICANTE,ALICANTE,81,"28,4","0,0","24,1",05:30,"32,8",11:50,13,"2,5","6,9",13:00,"13,0","1008,0",10,"1005,8",19
10,2022-08-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"27,4","0,0","23,5",06:40,"31,2",16:40,28,"2,8","8,6",19:30,"11,3","1010,4",23,"1008,1",18
11,2022-08-01,9784P,BIELSA,HUESCA,992,"23,4","0,0","15,0",05:20,"31,8",15:00,99,"1,4","9,2",Varias,"7,7","908,9",00,"905,7",Varias
12,2022-08-01,2331,BURGOS AEROPUERTO,BURGOS,891,"23,8","0,0","13,8",04:50,"33,9",14:10,09,"5,6","11,4",17:50,"13,8","920,0",00,"917,0",Varias
13,2022-08-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"28,9","0,0","21,4",05:20,"36,4",17:00,30,"4,2","11,1",00:30,"13,4","989,1",07,"984,0",Varias
14,2022-08-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"22,6","0,0","19,6",01:50,"25,7",11:00,99,"3,6","10,8",Varias,"10,0","1021,1",00,"1019,0",18
15,2022-08-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"27,8","0,0","24,8",23:59,"30,9",13:20,10,"3,1","6,4",06:10,"1,9","1016,5",10,"1014,2",18
16,2022-08-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"21,5","0,0","19,3",01:39,"23,7",15:47,06,"4,2","11,4",17:33,"2,1","1005,5",00,"1003,5",17
17,2022-08-01,9394X,CALATAYUD,ZARAGOZA,582,"27,8","0,0","20,2",05:40,"35,5",14:40,03,"3,6","12,5",16:50,"13,7","951,9",07,"948,1",17
18,2022-08-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,16,"2,8","11,1",19:30,,"925,6",Varias,"922,7",18
19,2022-08-01,1059X,PUNTA GALEA,BIZKAIA,90,"22,2","0,0","20,1",23:59,"24,4",16:00,05,"2,8","7,5",12:30,,"1011,8",00,"1009,9",18
20,2022-08-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"22,4","0,0","19,6",00:30,"25,2",09:45,07,"3,1","10,3",15:28,"3,1","1017,3",00,"1015,2",18
21,2022-08-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"27,2","0,0","22,0",05:30,"32,5",16:20,,,,,,"983,0",00,"980,1",18
22,2022-08-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"30,0","0,0","23,4",06:10,"36,6",13:15,18,"3,1","10,3",15:01,"11,2","1008,8",00,"1006,1",17
23,2022-08-01,7002Y,ÁGUILAS,MURCIA,26,"28,2","0,0","25,1",05:50,"31,2",12:40,12,"2,5","7,8",10:30,"12,6","1013,7",00,"1011,4",18
24,2022-08-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"26,4","0,0","22,2",Varias,"30,5",23:59,02,"13,1","18,9",12:54,"9,5","1009,4",00,"1006,5",18
25,2022-08-01,3191E,COLMENAR VIEJO,MADRID,1004,"29,3","0,0","22,2",Varias,"36,4",Varias,06,"0,8","14,4",22:40,"12,1","906,6",10,"903,9",18
26,2022-08-01,0016A,REUS AEROPUERTO,TARRAGONA,71,"27,6","0,0","21,9",04:39,"33,3",14:02,22,"3,1","8,3",16:06,"13,3","1008,4",00,"1006,3",18
27,2022-08-01,0367,GIRONA AEROPUERTO,GIRONA,143,"28,0","0,0","18,8",04:41,"37,2",11:29,19,"4,4","13,3",14:04,"11,2","1001,2",Varias,"999,3",15
28,2022-08-01,7247X,EL PINÓS/PINOSO,ALICANTE,575,"26,9","0,0","19,9",23:59,"33,9",15:00,21,"2,5","8,9",14:30,,,,,
29,2022-08-01,3200,GETAFE,MADRID,620,"32,0","0,0","24,5",04:45,"39,5",14:30,14,"2,2","8,3",14:22,"11,9","947,1",08,"943,2",18
30,2022-08-01,4103X,TOMELLOSO,CIUDAD REAL,662,"30,3","0,0","20,8",05:40,"39,8",16:10,06,"3,1","13,9",18:50,"10,2","942,0",Varias,"939,0",18
31,2022-08-01,3175,TORREJÓN DE ARDOZ,MADRID,607,"30,6","0,0","22,2",04:40,"39,1",16:50,34,"1,9","12,5",18:00,"10,7","947,6",08,"943,6",18
32,2022-08-01,3129,MADRID AEROPUERTO,MADRID,609,"31,0","0,0","22,5",05:24,"39,6",15:44,30,"2,2","7,8",13:48,"11,5","951,2",Varias,"946,8",18
33,2022-08-01,4067,MADRIDEJOS,TOLEDO,690,"29,8","0,0","21,6",04:50,"38,1",15:30,09,"1,9","9,2",00:40,"9,5","938,3",Varias,"935,4",Varias
34,2022-08-01,8501,CASTELLÓ DE LA PLANA,CASTELLON,23,,"0,0",,,,,,,,,,,,,
35,2022-08-01,C689E,MASPALOMAS,LAS PALMAS,6,,"0,0",,,,,23,"3,1","5,8",19:20,,,,,
36,2022-08-01,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,"23,8","0,0","21,0",23:56,"26,5",16:57,99,"2,5","5,8",Varias,"4,0","1020,4",00,"1018,5",17
