,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-12-01,4358X,DON BENITO,BADAJOZ,273,"12,6","0,0","7,1",23:59,"18,0",14:40,11,"0,8","3,9",09:00,"8,2","982,0",00,"979,8",16
1,2022-12-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"10,6",,"3,7",23:59,"17,4",13:50,,,,,,,,,
2,2022-12-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"15,3","11,5","11,9",07:46,"18,7",Varias,29,"7,2","13,3",21:45,"7,8","948,1",00,"944,3",15
3,2022-12-01,9698U,TALARN,LLEIDA,807,"2,9","0,0","-1,7",07:20,"7,5",14:50,18,"1,1","3,9",12:30,,,,,
4,2022-12-01,4410X,MÉRIDA,BADAJOZ,228,"10,8","0,0","3,3",23:40,"18,3",14:40,01,"1,1","4,7",11:10,,,,,
5,2022-12-01,1331A,CASTROPOL,ASTURIAS,40,"9,6","0,0","4,2",23:59,"14,9",14:00,10,"2,8","10,0",12:20,,,,,
6,2022-12-01,1690A,OURENSE,OURENSE,143,"8,4","0,0","4,7",06:00,"12,1",16:00,15,"0,6","3,6",14:10,"4,8",,,,
7,2022-12-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"4,0","0,0","-0,3",23:59,"8,4",12:30,02,"1,9","7,2",11:10,"5,8","887,7",11,"886,1",Varias
8,2022-12-01,8025,ALACANT/ALICANTE,ALICANTE,81,"12,8","0,4","9,2",00:50,"16,5",13:00,06,"1,4","6,7",14:10,"0,0","1005,3",00,"1003,0",14
9,2022-12-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"21,6","0,3","18,8",08:20,"24,3",13:20,30,"3,3","10,3",16:00,"9,0","1014,2",00,"1010,1",15
10,2022-12-01,9784P,BIELSA,HUESCA,992,"2,8","0,0","-4,0",06:00,"9,5",12:40,11,"0,8","4,4",11:00,"4,1","902,9",23,"900,4",14
11,2022-12-01,2331,BURGOS AEROPUERTO,BURGOS,891,"3,2","0,0","-0,4",00:00,"6,8",14:40,05,"5,8","11,4",11:40,"8,4","916,7",11,"913,8",00
12,2022-12-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,8","0,0","3,1",03:00,"12,5",15:20,30,"3,1","8,9",16:20,"7,5","988,3",10,"985,6",16
13,2022-12-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"9,5","0,0","6,5",06:40,"12,5",14:15,10,"1,7","5,8",14:15,"0,4","1022,6",10,"1019,1",00
14,2022-12-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"12,2","0,2","7,2",04:00,"17,2",13:40,07,"2,5","8,9",21:30,,"1014,2",00,"1010,8",14
15,2022-12-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"9,7","0,0","5,3",23:57,"14,1",12:30,99,"3,9","9,2",Varias,"6,5","1006,2",Varias,"1003,0",00
16,2022-12-01,9394X,CALATAYUD,ZARAGOZA,582,"5,2","0,0","-0,3",07:00,"10,6",14:00,07,"1,1","7,5",17:20,"6,6","949,7",11,"947,0",17
17,2022-12-01,3094B,TARANCÓN,CUENCA,808,,,,,,,99,"1,9","5,0",Varias,,"920,8",Varias,"918,8",16
