,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-01-01,4358X,DON BENITO,BADAJOZ,273,"13,8","0,0","6,8",02:50,"20,8",15:30,08,"1,4","5,0",09:10,"8,2","996,3",23,"993,8",15
1,2022-01-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"10,8","0,5","0,8",06:30,"20,8",15:40,,,,,,,,,
2,2022-01-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"19,9","0,0","15,0",08:01,"24,8",11:06,11,"2,8","7,8",14:38,"7,2","954,7",Varias,"950,9",04
3,2022-01-01,6106X,ANTEQUERA,MALAGA,408,"12,6","0,0","5,8",23:50,"19,3",13:00,16,"1,1","9,7",12:10,,"980,1",23,"977,5",Varias
4,2022-01-01,9698U,TALARN,LLEIDA,807,"10,4","0,0","5,0",07:20,"15,7",14:40,17,"1,1","3,3",12:20,,,,,
5,2022-01-01,4410X,MÉRIDA,BADAJOZ,228,"12,6","0,0","5,8",23:59,"19,3",14:40,10,"1,7","5,8",08:50,,,,,
6,2022-01-01,1331A,CASTROPOL,ASTURIAS,40,"22,0","0,0","18,5",23:59,"25,6",14:00,22,"3,1","13,1",22:40,,,,,
7,2022-01-01,1690A,OURENSE,OURENSE,143,"18,0","1,2","13,4",06:30,"22,5",15:40,16,"2,2","10,0",21:50,"3,8","1007,1",24,"1003,3",16
8,2022-01-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"13,6","0,0","4,8",23:59,"22,4",12:10,99,"2,2","5,0",Varias,"8,3","901,5",10,"899,4",14
9,2022-01-01,8025,ALACANT/ALICANTE,ALICANTE,81,"12,0","0,0","6,6",23:59,"17,5",13:50,14,"1,1","4,2",14:00,"8,8","1019,8",Varias,"1017,7",14
10,2022-01-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"21,5","0,0","17,1",03:30,"25,9",Varias,29,"1,4","4,4",08:10,"9,8","1020,6",24,"1017,0",04
