,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-02-01,4358X,DON BENITO,BADAJOZ,273,"9,2","0,0","0,8",07:50,"17,7",15:40,09,"0,8","5,0",23:59,"9,5","997,1",09,"994,2",17
1,2022-02-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"7,4","0,0","-1,7",07:30,"16,5",16:00,,,,,,,,,
2,2022-02-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"17,0","2,9","12,6",00:51,"21,3",12:36,,"2,2",,,"0,5","950,2",Varias,"947,7",15
3,2022-02-01,6106X,ANTEQUERA,MALAGA,408,"8,1","0,0","0,4",07:30,"15,8",14:30,31,"1,1","6,4",13:30,,"979,7",24,"976,0",15
4,2022-02-01,9698U,TALARN,LLEIDA,807,"10,2","0,0","2,7",04:20,"17,8",13:50,99,"2,5","8,6",Varias,,,,,
5,2022-02-01,4410X,MÉRIDA,BADAJOZ,228,"9,4","0,0","0,0",06:40,"18,8",15:30,23,"1,1","4,4",13:30,,,,,
6,2022-02-01,1331A,CASTROPOL,ASTURIAS,40,"10,2","0,0","5,7",06:00,"14,8",13:40,02,"1,7","6,4",14:30,,,,,
7,2022-02-01,1690A,OURENSE,OURENSE,143,"9,0","0,0","0,3",08:00,"17,8",15:40,05,"1,1","6,1",16:20,"8,0","1017,6",09,"1012,3",Varias
8,2022-02-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"6,0","0,0","1,1",07:50,"10,9",15:00,32,"8,3","21,1",00:40,"9,3","899,4",22,"893,4",03
9,2022-02-01,8025,ALACANT/ALICANTE,ALICANTE,81,"12,1","0,0","7,1",23:59,"17,1",12:20,32,"1,7","9,4",02:10,"9,8","1018,4",21,"1012,1",02
10,2022-02-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"19,4","2,0","16,3",00:30,"22,4",12:30,04,"1,7","5,8",12:20,"2,0","1016,7",24,"1013,7",15
11,2022-02-01,9784P,BIELSA,HUESCA,992,"10,4","0,0","5,6",01:50,"15,2",11:50,31,"8,3","24,7",06:10,"4,5","912,9",Varias,"907,9",01
12,2022-02-01,2331,BURGOS AEROPUERTO,BURGOS,891,"4,2",Ip,"1,5",19:50,"6,8",16:00,01,"4,7","9,2",07:40,"2,2","931,0",12,"927,1",03
13,2022-02-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,5","0,0","6,6",06:30,"12,4",14:10,30,"12,2","23,9",00:20,"9,7","999,8",22,"994,0",00
14,2022-02-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"9,5","0,0","5,0",23:59,"14,0",16:00,01,"2,5","8,6",02:01,"4,1","1037,7",12,"1034,2",24
15,2022-02-01,6293X,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,,,,,,,,,,
16,2022-02-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"8,8","0,0","5,5",Varias,"12,2",14:04,07,"2,8","6,1",12:34,"8,4","1022,3",Varias,"1016,7",24
17,2022-02-01,9394X,CALATAYUD,ZARAGOZA,582,"8,8","0,0","2,8",23:59,"14,9",14:30,99,"1,7","11,7",Varias,"7,7","962,6",24,"957,9",05
18,2022-02-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,03,"4,7","17,5",11:10,,"934,3",23,"930,3",16
19,2022-02-01,1059X,PUNTA GALEA,BIZKAIA,90,,"0,0",,,,,17,"3,3","11,9",00:50,,,,,
20,2022-02-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"8,6","0,0","2,9",23:59,"14,4",14:50,05,"1,7","6,1",15:50,"6,0","1034,6",09,"1029,3",24
21,2022-02-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"12,0","0,0","4,9",23:50,"19,0",12:40,02,"1,1","12,8",02:20,,"993,2",22,"987,0",03
22,2022-02-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"12,3","0,0","6,6",23:50,"18,0",15:30,35,"1,7","11,9",08:46,"9,5","1020,2",Varias,"1014,4",00
23,2022-02-01,7002Y,ÁGUILAS,MURCIA,26,"13,3","0,0","7,9",23:40,"18,7",13:00,08,"3,6","10,6",13:00,"9,6","1025,4",22,"1018,4",03
24,2022-02-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,8","0,3","17,3",,"22,3",11:40,15,"2,2","10,3",12:31,"0,7","1015,9",Varias,"1012,7",15
25,2022-02-01,3191E,COLMENAR VIEJO,MADRID,1004,"11,3","0,0","5,1",Varias,"17,5",14:40,05,"6,9","20,6",13:40,"8,9","914,7",23,"910,6",06
26,2022-02-01,0016A,REUS AEROPUERTO,TARRAGONA,71,"11,7","0,0","7,3",07:03,"16,1",14:14,99,"9,7","20,0",Varias,"9,7","1016,6",Varias,"1010,0",00
27,2022-02-01,0367,GIRONA AEROPUERTO,GIRONA,143,"8,2",Ip,"0,4",07:10,"15,9",15:00,99,"2,5","6,7",Varias,"9,2","1008,6",Varias,"1004,5",00
28,2022-02-01,7247X,EL PINÓS/PINOSO,ALICANTE,575,"10,1","0,0","4,0",21:40,"16,2",16:00,34,"0,6","8,1",04:10,,,,,
29,2022-02-01,3200,GETAFE,MADRID,620,"9,9","0,0","2,4",04:30,"17,4",14:30,10,"5,0","16,1",15:43,"9,8","957,8",23,"953,5",15
30,2022-02-01,4103X,TOMELLOSO,CIUDAD REAL,662,"8,0","0,0","0,7",06:20,"15,4",16:00,02,"2,5","10,0",10:40,"9,1","952,2",22,"948,6",15
31,2022-02-01,3175,TORREJÓN DE ARDOZ,MADRID,607,"9,2","0,0","2,6",07:50,"15,7",13:50,04,"6,9","21,7",14:20,"9,7","958,6",22,"953,7",15
32,2022-02-01,3129,MADRID AEROPUERTO,MADRID,609,"11,6","0,0","5,4",04:23,"17,7",13:52,02,"5,6","13,9",15:56,"9,4","962,1",Varias,"957,5",15
33,2022-02-01,8501,CASTELLÓ DE LA PLANA,CASTELLON,23,,"0,0",,,,,,,,,,,,,
34,2022-02-01,C689E,MASPALOMAS,LAS PALMAS,6,,"1,2",,,,,08,"4,7","11,7",21:30,,,,,
35,2022-02-01,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,"10,0","0,0","7,6",07:46,"12,3",Varias,99,"2,2","8,9",Varias,"1,8","1036,1",Varias,"1032,6",03
36,2022-02-01,7031X,SAN JAVIER AEROPUERTO,MURCIA,4,"12,2","0,0","7,1",22:40,"17,2",13:09,99,"3,3","10,3",Varias,"9,9","1028,6",Varias,"1022,4",00
37,2022-02-01,7209,LORCA,MURCIA,312,"11,4",,"5,4",23:59,"17,4",14:50,04,"1,4","6,9",11:30,,,,,
38,2022-02-01,3519X,PLASENCIA,CACERES,415,"12,4","0,0","6,9",05:20,"17,9",15:50,04,"0,8","10,6",08:50,,,,,
39,2022-02-01,2755X,BENAVENTE,ZAMORA,715,"5,2","0,0","-2,8",06:40,"13,3",15:30,09,"1,7","7,8",14:10,"8,4","950,6",09,"947,5",16
40,2022-02-01,8175,ALBACETE BASE AÉREA,ALBACETE,702,"7,2","0,0","0,6",23:50,"13,9",15:00,30,"3,3","11,7",05:20,"9,1","947,2",24,"942,7",06
41,2022-02-01,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,626,"6,2","0,0","3,5",07:50,"8,8",12:50,32,"5,3","20,0",08:40,,,,,
42,2022-02-01,6277B,ADRA,ALMERIA,8,"14,5","0,0","11,0",01:30,"18,0",09:00,08,"3,1","9,7",10:00,,"1030,9",23,"1022,6",03
43,2022-02-01,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"8,2","0,0","5,0",21:21,"11,4",12:48,30,"3,6","11,4",02:28,"1,7","991,8",Varias,"987,6",01
44,2022-02-01,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,"19,6","1,2","17,2",02:30,"21,9",11:10,17,"2,2","7,8",12:40,,"1018,7",20,"1015,6",15
45,2022-02-01,9111,BELORADO,BURGOS,820,"3,8","0,0","1,1",23:59,"6,6",13:20,02,"1,4","8,3",07:20,,,,,
46,2022-02-01,5246,SANTA ELENA,JAEN,770,"7,6","0,0","4,0",06:00,"11,3",16:00,02,"2,8","16,1",10:30,"8,8","939,0",22,"936,0",15
47,2022-02-01,7031,SAN JAVIER AEROPUERTO,MURCIA,4,"11,8","0,0","6,5",,"17,2",,,,,,"9,6",,,,
48,2022-02-01,5181D,ARROYO DEL OJANCO,JAEN,580,"8,8","0,0","1,9",05:00,"15,7",16:40,,,,,,"952,5",21,"948,5",06
49,2022-02-01,B691Y,SA POBLA,ILLES BALEARS,40,"10,4","0,0","3,8",01:50,"16,9",13:40,31,"1,9","8,6",15:50,"5,8","1022,4",20,"1017,1",00
50,2022-02-01,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,"9,0","0,0","4,8",23:59,"13,2",15:50,30,"2,5","9,7",01:30,,"1032,7",12,"1028,4",24
51,2022-02-01,3260B,TOLEDO,TOLEDO,515,"9,6","0,0","1,4",04:00,"17,9",15:30,08,"1,9","10,0",15:40,"9,6","969,3",24,"965,2",15
52,2022-02-01,1249I,OVIEDO,ASTURIAS,336,"8,8","0,0","5,2",23:59,"12,3",15:40,99,"2,5","5,6",Varias,"7,9","997,0",09,"992,6",24
53,2022-02-01,1283U,CABO BUSTO,ASTURIAS,60,"10,2","0,0","7,2",07:20,"13,2",Varias,08,"3,6","8,9",21:00,"7,9","1029,9",09,"1023,8",24
54,2022-02-01,C430E,IZAÑA,STA. CRUZ DE TENERIFE,2371,"8,2","16,2","5,0",03:30,"11,5",11:40,18,"12,2","19,7",18:00,"1,6","772,5",12,"769,8",18
55,2022-02-01,1083L,CASTRO URDIALES,CANTABRIA,45,"9,2","0,0","6,3",23:59,"12,1",13:50,34,"3,1","19,7",01:10,,,,,
56,2022-02-01,2117D,ARANDA DE DUERO,BURGOS,790,"3,4","0,0","-2,5",23:50,"9,3",16:00,36,"2,8","13,1",12:10,"1,8","942,1",11,"938,6",04
57,2022-02-01,5514,GRANADA BASE AÉREA,GRANADA,687,"8,6","0,0","0,0",06:30,"17,2",16:20,31,"2,5","6,1",12:15,"9,4","947,3",24,"943,9",16
58,2022-02-01,B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030,"4,4","0,0","3,6",03:40,"5,2",11:50,33,"6,7","16,7",23:00,,,,,
59,2022-02-01,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960,"3,6","0,0","-3,7",08:00,"10,8",23:50,10,"14,4","25,6",12:10,"8,3","813,8",22,"810,2",Varias
60,2022-02-01,5860E,"MOGUER, EL ARENOSILLO",HUELVA,41,"13,2","0,0","5,8",06:40,"20,6",15:50,99,"2,5","8,6",10:50,,"1023,9",10,"1020,5",16
61,2022-02-01,2465,SEGOVIA,SEGOVIA,1005,"5,8","0,0","0,7",23:59,"10,8",15:30,01,"4,2","15,6",14:40,"7,5","916,0",09,"912,1",15
62,2022-02-01,B228,"PALMA, PUERTO",ILLES BALEARS,3,"13,2","0,0","10,5",Varias,"15,8",14:10,33,"1,4","7,2",00:40,"5,9","1025,9",Varias,"1019,5",01
63,2022-02-01,B013X,"ESCORCA, LLUC",ILLES BALEARS,490,"9,0","0,0","4,8",02:00,"13,2",14:00,15,"1,1","7,8",21:50,,,,,
64,2022-02-01,4090Y,SAN CLEMENTE,CUENCA,728,"6,8","0,0","-1,5",07:00,"15,1",15:00,02,"3,1","10,0",04:00,,"944,5",24,"940,1",16
65,2022-02-01,0324A,RIPOLL,GIRONA,675,"6,0","0,0","-1,9",05:30,"13,8",14:20,,,,,,,,,
66,2022-02-01,5995B,VEJER DE LA FRONTERA,CADIZ,186,"15,8","0,0","10,2",08:30,"21,3",14:50,09,"2,2","8,1",22:00,,"1005,2",24,"1001,8",15
67,2022-02-01,1473A,PADRÓN,A CORUÑA,100,"10,6","0,0","4,6",06:00,"16,6",15:30,09,"2,2","10,0",13:20,,,,,
