,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-07-01,4358X,DON BENITO,BADAJOZ,273,"26,4","0,0","16,6",05:40,"36,1",16:30,30,"1,1","5,0",16:50,"11,4","983,4",09,"979,7",19
1,2022-07-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"24,5","0,0","12,6",05:20,"36,4",16:50,,,,,,,,,
2,2022-07-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"17,2","4,2","14,0",05:21,"20,3",14:45,,,,,"3,2",,,,
3,2022-07-01,6106X,ANTEQUERA,MALAGA,408,"21,4","0,0","14,0",05:40,"28,9",12:10,15,"2,5","11,1",21:10,,"968,5",23,"965,5",04
4,2022-07-01,9698U,TALARN,LLEIDA,807,"20,9","0,0","13,7",04:00,"28,1",16:20,21,"3,1","10,3",Varias,,,,,
5,2022-07-01,4410X,MÉRIDA,BADAJOZ,228,"25,3","0,0","14,2",05:40,"36,4",15:50,20,"1,9","5,6",14:30,,,,,
6,2022-07-01,1331A,CASTROPOL,ASTURIAS,40,"16,4","0,0","9,9",05:20,"22,9",14:00,06,"2,5","8,1",16:40,,,,,
7,2022-07-01,1690A,OURENSE,OURENSE,143,"20,0","0,0","8,8",06:00,"31,3",18:00,28,"0,8","4,7",14:40,"13,8","1001,5",Varias,"996,6",Varias
8,2022-07-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"17,8","0,0","11,4",05:00,"24,1",12:30,11,"3,6","8,9",13:40,"6,5","894,7",23,"890,8",03
9,2022-07-01,8025,ALACANT/ALICANTE,ALICANTE,81,"25,6","0,0","21,2",02:50,"29,9",12:20,08,"3,9","11,1",13:00,"10,8","1009,2",22,"1004,1",00
10,2022-07-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"22,4","0,6","19,2",05:30,"25,6",16:00,34,"2,8","10,8",15:00,"5,6","1015,5",23,"1013,4",18
11,2022-07-01,9784P,BIELSA,HUESCA,992,"18,7","0,0","9,7",06:50,"27,7",16:30,15,"1,1","8,3",11:20,"10,4","909,5",24,"903,9",00
12,2022-07-01,2331,BURGOS AEROPUERTO,BURGOS,891,"16,6","0,0","5,0",04:10,"28,1",16:10,08,"4,2","10,0",19:30,"14,8","918,3",00,"915,8",17
13,2022-07-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"22,4","0,0","13,8",05:10,"31,0",17:21,30,"3,1","12,2",00:40,"14,6","989,7",08,"985,2",19
14,2022-07-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"17,4","0,0","11,8",04:30,"23,1",17:00,05,"2,5","11,9",15:01,"14,2","1021,2",00,"1019,2",17
15,2022-07-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"22,6","0,0","18,7",00:10,"26,4",12:00,10,"5,6","11,9",20:40,"10,4","1015,0",11,"1011,7",00
16,2022-07-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"15,8","0,0","11,0",05:04,"20,5",14:05,99,"3,9","9,2",Varias,"14,5","1005,3",00,"1003,8",18
17,2022-07-01,9394X,CALATAYUD,ZARAGOZA,582,"19,4","0,0","9,3",03:50,"29,6",17:00,03,"3,9","10,3",16:30,"14,5","952,0",07,"947,9",17
