,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-06-01,4358X,DON BENITO,BADAJOZ,273,"23,2","0,0","16,5",05:00,"29,9",17:00,26,"3,1","10,0",15:10,"6,8","984,2",08,"981,1",18
1,2022-06-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"21,1","0,0","12,2",04:30,"30,0",16:20,,,,,,,,,
2,2022-06-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"16,4","0,0","13,4",22:48,"19,3",15:29,29,"4,2","11,4",08:21,"2,1","948,7",Varias,"944,9",04
3,2022-06-01,6106X,ANTEQUERA,MALAGA,408,"21,3","0,0","13,7",05:00,"28,9",16:00,29,"1,7","7,8",19:00,,"969,3",08,"965,9",Varias
4,2022-06-01,9698U,TALARN,LLEIDA,807,"22,7","0,0","14,6",03:20,"30,8",14:00,24,"2,5","9,2",14:30,,,,,
5,2022-06-01,4410X,MÉRIDA,BADAJOZ,228,"22,2","0,0","15,0",03:50,"29,4",15:40,20,"3,3","10,8",14:20,,,,,
6,2022-06-01,1331A,CASTROPOL,ASTURIAS,40,"18,4","5,8","14,3",02:40,"22,5",15:10,26,"1,1","6,9",10:10,,,,,
7,2022-06-01,1690A,OURENSE,OURENSE,143,"19,8","13,0","14,7",23:59,"25,0",14:00,16,"1,1","7,8",08:00,"4,6","996,7",22,"992,9",04
8,2022-06-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"17,6","0,0","9,7",05:20,"25,6",12:50,09,"3,1","10,3",11:50,"11,7","890,7",07,"888,9",18
9,2022-06-01,8025,ALACANT/ALICANTE,ALICANTE,81,"22,4","0,0","18,1",05:10,"26,7",14:30,14,"2,2","5,6",Varias,"13,4","1006,7",11,"1003,7",18
10,2022-06-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"22,6","0,0","20,5",04:50,"24,7",12:20,30,"2,8","11,7",08:00,"2,7","1014,6",24,"1010,4",03
11,2022-06-01,9784P,BIELSA,HUESCA,992,"18,7","0,6","9,4",04:50,"28,0",16:30,10,"1,1","12,2",15:40,"7,0","905,0",00,"901,4",17
12,2022-06-01,2331,BURGOS AEROPUERTO,BURGOS,891,"18,0","0,0","8,1",05:00,"27,9",14:20,26,"4,7","13,6",18:20,"10,8","914,7",21,"912,0",16
13,2022-06-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"27,4","0,0","18,7",04:50,"36,1",16:40,28,"4,2","9,4",17:20,"13,1","984,4",07,"979,8",17
14,2022-06-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"19,2","1,7","14,5",04:00,"23,8",09:00,29,"3,3","11,4",15:30,"10,5","1015,8",Varias,"1010,0",13
15,2022-06-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"19,8","0,0","14,8",05:20,"24,7",15:50,23,"2,2","6,1",16:40,"13,7","1015,4",11,"1012,7",Varias
16,2022-06-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"17,1","18,5","13,5",04:41,"20,7",10:11,10,"3,1","7,8",16:35,"5,9","1001,0",Varias,"996,1",11
17,2022-06-01,9394X,CALATAYUD,ZARAGOZA,582,"22,4","0,0","12,6",05:30,"32,3",14:00,24,"3,9","14,7",14:10,"12,7","947,9",07,"944,5",17
18,2022-06-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,24,"4,2","14,4",14:20,,"923,4",10,"920,5",18
19,2022-06-01,1059X,PUNTA GALEA,BIZKAIA,90,,"0,7",,,,,32,"2,2","12,5",16:10,,"1006,9",20,"1000,6",15
20,2022-06-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"17,8","3,8","14,4",01:50,"21,2",09:20,06,"1,9","6,9",10:30,"5,8","1012,8",23,"1007,8",11
21,2022-06-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"21,6",,"15,1",05:00,"28,2",13:30,,,,,,"980,9",09,"977,9",17
22,2022-06-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"24,5","0,0","16,5",05:10,"32,5",15:30,12,"3,1","8,9",13:14,"12,4","1006,9",Varias,"1003,9",Varias
23,2022-06-01,7002Y,ÁGUILAS,MURCIA,26,"22,4","0,0","19,3",04:40,"25,5",12:40,12,"1,9","7,5",09:10,"12,2","1012,5",10,"1009,5",Varias
24,2022-06-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"22,3","0,0","19,8",05:50,"24,8",11:40,02,"5,3","12,5",11:10,"5,4","1013,7",Varias,"1009,5",03
25,2022-06-01,3191E,COLMENAR VIEJO,MADRID,1004,"20,4","0,0","15,8",04:20,"25,1",15:50,22,"3,6","14,4",14:50,"12,5","903,2",12,"901,6",Varias
26,2022-06-01,0016A,REUS AEROPUERTO,TARRAGONA,71,"21,4","0,0","16,3",04:35,"26,4",13:41,20,"2,5","7,8",14:46,"13,2","1007,0",Varias,"1004,2",17
27,2022-06-01,0367,GIRONA AEROPUERTO,GIRONA,143,"21,2","0,0","12,4",04:38,"29,9",12:01,,"3,3",,,"12,5","1000,0",00,"996,4",17
28,2022-06-01,7247X,EL PINÓS/PINOSO,ALICANTE,575,"21,0","0,0","10,8",04:50,"31,1",14:00,23,"2,2","7,8",14:30,,,,,
29,2022-06-01,3200,GETAFE,MADRID,620,"22,3","0,0","15,0",05:00,"29,6",14:40,29,"4,2","12,8",14:53,"12,7","945,1",10,"942,0",18
30,2022-06-01,4103X,TOMELLOSO,CIUDAD REAL,662,"23,6","0,0","16,0",04:20,"31,3",15:00,19,"2,8","11,9",12:30,"9,7","941,1",08,"937,5",17
31,2022-06-01,3175,TORREJÓN DE ARDOZ,MADRID,607,"21,0","0,0","11,8",04:40,"30,2",15:10,23,"3,9","13,9",15:40,"12,9","945,4",10,"942,1",18
32,2022-06-01,3129,MADRID AEROPUERTO,MADRID,609,"22,2","0,0","14,4",05:26,"30,0",15:02,25,"4,2","15,3",14:00,"12,5","948,7",Varias,"945,6",17
33,2022-06-01,4067,MADRIDEJOS,TOLEDO,690,"22,1","0,0","14,2",05:00,"30,0",16:20,23,"4,2","13,9",15:50,"13,2","936,8",10,"933,5",17
34,2022-06-01,8501,CASTELLÓ DE LA PLANA,CASTELLON,23,,"0,0",,,,,,,,,,,,,
35,2022-06-01,C689E,MASPALOMAS,LAS PALMAS,6,,"0,0",,,,,08,"4,7","10,3",12:10,,,,,
36,2022-06-01,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,"20,6","0,9","17,0",03:50,"24,1",12:28,29,"2,8","10,8",18:34,"12,4","1015,1",Varias,"1009,9",17
37,2022-06-01,7031X,SAN JAVIER AEROPUERTO,MURCIA,4,"21,3","0,0","17,6",04:15,"25,0",14:19,99,"3,1","7,2",Varias,"13,1","1016,1",Varias,"1012,9",17
38,2022-06-01,7209,LORCA,MURCIA,312,"24,4","0,0","16,4",05:20,"32,3",15:30,17,"1,4","5,6",16:00,,,,,
39,2022-06-01,3519X,PLASENCIA,CACERES,415,"20,9","1,7","17,4",04:40,"24,4",14:00,26,"1,7","6,9",09:40,,,,,
40,2022-06-01,2755X,BENAVENTE,ZAMORA,715,"18,9","0,6","13,4",04:40,"24,4",10:50,18,"3,1","13,3",15:40,"6,1","932,8",Varias,"930,5",Varias
41,2022-06-01,8175,ALBACETE BASE AÉREA,ALBACETE,702,"23,0","0,0","13,9",04:50,"32,2",14:10,30,"1,9","8,9",15:10,"12,9","936,3",08,"933,0",17
42,2022-06-01,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,626,"24,2","0,0","16,5",03:20,"31,9",15:50,14,"3,1","12,2",13:30,,,,,
43,2022-06-01,6277B,ADRA,ALMERIA,8,"22,2","0,0","18,3",04:30,"26,2",13:40,22,"1,4","6,4",15:40,,"1015,0",00,"1011,5",17
44,2022-06-01,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"23,0","0,1","12,7",04:58,"33,4",15:18,24,"0,8","7,8",20:30,"11,6","971,9",Varias,"967,7",17
45,2022-06-01,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,"22,4","0,0","20,9",05:30,"23,8",15:50,31,"2,2","7,5",10:10,,"1016,7",23,"1012,4",03
46,2022-06-01,9111,BELORADO,BURGOS,820,"20,0","0,0","10,7",05:00,"29,2",15:30,18,"2,2","10,6",13:00,,,,,
47,2022-06-01,5246,SANTA ELENA,JAEN,770,"22,6","0,0","14,5",05:00,"30,7",14:40,,,,,"10,7","929,7",08,"926,7",Varias
48,2022-06-01,7031,SAN JAVIER AEROPUERTO,MURCIA,4,"21,2","0,0","17,6",,"24,8",,,,,,,,,,
49,2022-06-01,5181D,ARROYO DEL OJANCO,JAEN,580,"23,4","0,0","15,9",05:20,"30,9",15:00,,,,,,"944,1",09,"940,5",17
