,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-03-01,4358X,DON BENITO,BADAJOZ,273,"13,2","0,0","4,7",07:00,"21,7",13:30,31,"1,1","5,8",16:20,"8,9","995,0",09,"991,1",17
1,2022-03-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"10,9","0,0","0,7",07:00,"21,1",15:00,,,,,,,,,
2,2022-03-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"14,1","0,0","11,7",04:26,"16,5",13:33,31,"8,9","20,6",09:26,"5,2","954,7",Varias,"951,6",04
3,2022-03-01,6106X,ANTEQUERA,MALAGA,408,"12,4","0,0","6,7",07:20,"18,1",15:30,15,"1,4","10,8",00:30,,"978,6",10,"974,8",18
4,2022-03-01,9698U,TALARN,LLEIDA,807,"8,8","0,0","1,0",06:30,"16,5",14:40,99,"1,7","6,4",Varias,,,,,
5,2022-03-01,4410X,MÉRIDA,BADAJOZ,228,"12,6","0,0","3,3",03:00,"21,8",13:00,23,"1,4","5,6",14:00,,,,,
6,2022-03-01,1331A,CASTROPOL,ASTURIAS,40,"14,2","1,9","10,3",03:00,"18,2",15:00,20,"2,2","11,7",23:59,,,,,
7,2022-03-01,1690A,OURENSE,OURENSE,143,"12,8","3,2","8,7",03:00,"16,8",13:50,13,"1,9","8,6",12:10,"0,0","1007,3",00,"1002,2",16
8,2022-03-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"9,6","0,0","3,4",07:00,"15,9",14:30,32,"3,3","8,6",02:40,"10,3","896,9",11,"894,8",Varias
9,2022-03-01,8025,ALACANT/ALICANTE,ALICANTE,81,"11,9","0,0","6,2",06:30,"17,6",14:00,12,"1,7","5,3",14:00,"10,7","1018,0",00,"1015,2",16
10,2022-03-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"19,9","0,0","17,5",07:30,"22,3",14:10,33,"4,2","12,5",00:50,"8,9","1021,6",12,"1018,6",04
11,2022-03-01,9784P,BIELSA,HUESCA,992,"7,4","0,0","-2,3",05:50,"17,1",12:30,09,"2,2","11,1",13:10,"6,6","910,9",00,"908,4",Varias
12,2022-03-01,2331,BURGOS AEROPUERTO,BURGOS,891,"6,2","3,6","-2,6",07:00,"15,1",13:50,24,"3,6","9,7",13:20,"5,6","923,8",00,"919,0",24
13,2022-03-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,7","0,0","3,9",06:30,"19,5",14:20,12,"1,7","7,2",19:10,"9,3","995,7",10,"991,3",17
14,2022-03-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"12,8","7,3","7,0",04:20,"18,5",13:40,13,"1,4","10,0",21:10,"7,0","1026,5",00,"1019,5",Varias
15,2022-03-01,6293X,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,,,,,,,,,,
16,2022-03-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"12,1","12,7","9,9",23:54,"14,3",Varias,99,"3,6","8,9",Varias,"0,0","1009,9",00,"1002,9",17
17,2022-03-01,9394X,CALATAYUD,ZARAGOZA,582,"10,0","0,0","-0,4",07:20,"20,5",15:40,25,"0,8","5,8",14:00,"8,6","958,4",08,"952,6",17
18,2022-03-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,26,"2,2","8,1",13:10,"10,3","931,5",Varias,"928,7",17
19,2022-03-01,1059X,PUNTA GALEA,BIZKAIA,90,"14,6","0,7","7,5",06:00,"21,6",13:10,88,"1,7","6,9",07:40,,"1016,8",00,"1009,2",16
20,2022-03-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"13,0","10,2","9,0",07:20,"17,1",12:40,99,"1,1","5,8",Varias,"0,3","1022,1",00,"1014,8",17
21,2022-03-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"11,3",,"2,8",06:40,"19,8",11:40,17,"1,7","6,9",14:10,,"992,0",00,"987,9",16
22,2022-03-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"14,5","0,0","6,2",06:30,"22,8",14:30,23,"1,9","8,3",15:51,"8,9","1019,5",Varias,"1014,7",15
23,2022-03-01,7002Y,ÁGUILAS,MURCIA,26,"12,9","0,0","7,6",07:00,"18,2",14:00,18,"1,7","6,1",13:30,"10,6","1024,8",00,"1020,7",Varias
24,2022-03-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"19,0","0,0","16,9",05:30,"21,2",14:00,01,"11,9","20,6",11:37,"10,0","1019,5",Varias,"1016,1",05
25,2022-03-01,3191E,COLMENAR VIEJO,MADRID,1004,"10,8","0,1","6,0",06:15,"15,5",15:40,21,"2,5","7,2",16:20,"9,1","911,0",01,"908,1",24
26,2022-03-01,0016A,REUS AEROPUERTO,TARRAGONA,71,"10,0","0,0","3,2",06:38,"16,9",10:56,99,"3,1","6,7",Varias,"7,9","1017,4",Varias,"1015,4",04
27,2022-03-01,8058X,OLIVA,VALENCIA,5,"11,4","0,0","4,5",05:10,"18,3",15:40,,,,,,,,,
28,2022-03-01,0367,GIRONA AEROPUERTO,GIRONA,143,"8,0","0,0","-0,3",06:11,"16,3",13:37,03,"3,3","10,8",13:30,"8,1","1011,7",Varias,"1008,2",03
29,2022-03-01,7247X,EL PINÓS/PINOSO,ALICANTE,575,"10,4","0,0","-0,3",07:00,"21,2",14:00,17,"0,8","8,3",14:10,,,,,
30,2022-03-01,3200,GETAFE,MADRID,620,"10,8","0,0","3,2",06:50,"18,4",15:20,28,"2,5","10,3",16:30,"9,7","954,7",10,"950,8",17
31,2022-03-01,4103X,TOMELLOSO,CIUDAD REAL,662,"10,3","0,0","1,8",06:30,"18,8",15:50,99,"1,7","4,7",Varias,"10,4","950,0",10,"946,6",Varias
32,2022-03-01,3175,TORREJÓN DE ARDOZ,MADRID,607,"11,2","0,0","2,1",06:50,"20,2",15:00,99,"2,8","8,9",Varias,"9,2","954,7",Varias,"950,5",17
33,2022-03-01,3129,MADRID AEROPUERTO,MADRID,609,"9,4","0,0","0,5",07:09,"18,3",15:29,23,"2,8","9,7",Varias,"9,6","958,8",Varias,"954,5",17
34,2022-03-01,4067,MADRIDEJOS,TOLEDO,690,"10,4","0,0","2,1",07:00,"18,6",16:00,09,"1,7","7,8",12:40,"10,4","945,6",11,"942,2",17
35,2022-03-01,8501,CASTELLÓ DE LA PLANA,CASTELLON,23,,"0,0",,,,,,,,,,,,,
36,2022-03-01,C689E,MASPALOMAS,LAS PALMAS,6,,"0,0",,,,,06,"2,8","15,8",14:00,,,,,
37,2022-03-01,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,"13,5","1,6","5,8",06:30,"21,2",13:53,30,"1,7","6,7",20:28,"5,7","1025,6",00,"1018,7",17
38,2022-03-01,7031X,SAN JAVIER AEROPUERTO,MURCIA,4,"12,8","0,0","6,3",06:32,"19,3",11:33,16,"3,6","8,3",13:51,"10,6","1028,2",00,"1024,2",16
39,2022-03-01,7209,LORCA,MURCIA,312,"12,2","0,0","2,5",07:00,"21,9",13:50,18,"0,8","5,8",14:30,,,,,
40,2022-03-01,3519X,PLASENCIA,CACERES,415,"13,1","0,0","6,5",07:20,"19,7",12:50,24,"1,4","5,6",13:30,,,,,
41,2022-03-01,2755X,BENAVENTE,ZAMORA,715,"8,8","0,8","2,5",03:30,"15,2",13:10,26,"1,4","10,0",16:30,"0,7","942,8",01,"938,3",24
