,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-05-01,4358X,DON BENITO,BADAJOZ,273,"20,7","0,0","13,3",23:59,"28,1",Varias,25,"2,8","9,7",13:40,"11,7","988,7",08,"984,2",18
1,2022-05-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"17,8","0,0","9,2",05:30,"26,3",14:20,,,,,,,,,
2,2022-05-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"18,0","0,0","12,4",23:40,"23,5",13:20,29,"5,3","11,7",21:58,"11,9","952,3",Varias,"950,3",05
3,2022-05-01,6106X,ANTEQUERA,MALAGA,408,"17,6","0,0","9,5",05:00,"25,8",14:30,23,"1,4","6,9",17:10,,"973,6",00,"968,5",19
4,2022-05-01,9698U,TALARN,LLEIDA,807,"14,6","16,8","7,4",04:20,"21,9",12:40,99,"2,8","10,3",Varias,,,,,
5,2022-05-01,4410X,MÉRIDA,BADAJOZ,228,"19,3","0,0","11,7",Varias,"26,9",12:40,23,"3,9","10,3",13:20,,,,,
6,2022-05-01,1331A,CASTROPOL,ASTURIAS,40,"15,0","0,1","12,4",Varias,"17,5",16:30,36,"0,8","3,6",15:20,,,,,
7,2022-05-01,1690A,OURENSE,OURENSE,143,"15,6","0,0","6,5",06:00,"24,8",14:50,28,"1,4","8,3",16:30,"12,2","1005,0",07,"1000,0",16
8,2022-05-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"12,8","0,2","4,9",06:00,"20,7",14:40,32,"3,1","10,6",09:10,"11,8","892,7",00,"888,6",24
9,2022-05-01,8025,ALACANT/ALICANTE,ALICANTE,81,"18,6","0,0","14,1",05:40,"23,2",13:40,08,"1,9","7,2",10:30,"10,1","1009,9",00,"1005,1",24
10,2022-05-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"22,4","0,0","18,5",06:10,"26,2",14:40,07,"3,1","9,4",08:50,"12,5","1018,4",Varias,"1016,0",17
11,2022-05-01,9784P,BIELSA,HUESCA,992,"13,4","7,0","3,9",05:30,"23,0",12:30,10,"2,2","10,6",14:30,"7,0","907,2",00,"902,3",18
12,2022-05-01,2331,BURGOS AEROPUERTO,BURGOS,891,"11,9","11,6","3,9",05:10,"19,9",15:20,06,"4,2","10,0",Varias,"12,7","920,0",00,"914,9",18
13,2022-05-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,9","0,0","11,8",05:20,"26,0",16:10,30,"5,6","11,7",23:10,"12,9","990,1",00,"984,1",Varias
14,2022-05-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"14,3","0,0","11,6",02:00,"17,0",14:30,35,"2,5","6,1",15:20,"0,0","1023,3",00,"1019,6",24
15,2022-05-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"18,8","0,0","15,9",05:50,"21,8",13:10,26,"4,2","11,1",16:20,"11,4","1020,3",00,"1014,5",Varias
16,2022-05-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"12,8","2,4","11,7",23:56,"13,9",Varias,20,"1,9","5,0",05:58,"0,0","1008,1",00,"1004,4",24
17,2022-05-01,9394X,CALATAYUD,ZARAGOZA,582,"15,8","0,0","7,6",06:00,"23,9",13:40,05,"2,5","10,8",15:30,"12,7","952,7",00,"946,8",18
18,2022-05-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,29,"2,5","9,4",16:20,"11,4","927,0",00,"921,1",24
19,2022-05-01,1059X,PUNTA GALEA,BIZKAIA,90,"14,0","0,0","11,2",05:40,"16,9",14:00,32,"1,4","5,6",23:00,,"1013,5",00,"1009,3",24
20,2022-05-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"13,4","1,8","12,0",23:59,"14,9",13:50,02,"0,6","3,9",10:40,"0,0","1020,1",00,"1016,2",24
21,2022-05-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"19,6","0,3","12,7",05:00,"26,5",13:10,,,,,,"985,2",00,"979,1",18
22,2022-05-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"20,5","0,1","12,0",06:00,"29,0",14:20,08,"2,5","11,9",15:54,"7,3","1011,8",00,"1006,6",24
23,2022-05-01,7002Y,ÁGUILAS,MURCIA,26,"19,0","0,0","14,6",05:20,"23,5",16:50,10,"2,2","6,9",19:20,"6,4","1016,3",00,"1010,7",18
24,2022-05-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"21,6","0,0","18,2",23:59,"24,9",12:20,99,"10,8","16,9",Varias,"12,2","1016,8",Varias,"1014,1",03
25,2022-05-01,3191E,COLMENAR VIEJO,MADRID,1004,"17,0","0,0","11,8",05:20,"22,2",12:50,19,"1,9","10,3",15:40,"10,4","907,2",00,"901,8",24
26,2022-05-01,0016A,REUS AEROPUERTO,TARRAGONA,71,"17,0","0,0","11,1",03:41,"22,9",11:01,99,"3,1","7,8",Varias,"11,9","1011,0",00,"1007,0",17
27,2022-05-01,0367,GIRONA AEROPUERTO,GIRONA,143,"15,6","1,5","8,2",04:55,"22,9",13:01,19,"3,1","9,7",13:23,"9,5","1003,8",00,"1000,1",16
28,2022-05-01,7247X,EL PINÓS/PINOSO,ALICANTE,575,"17,4","0,0","8,6",05:00,"26,2",13:00,24,"1,7","8,9",17:10,,,,,
29,2022-05-01,3200,GETAFE,MADRID,620,"18,9","0,0","12,2",05:50,"25,6",14:50,30,"3,9","10,8",15:31,"10,9","949,0",00,"942,6",24
30,2022-05-01,4103X,TOMELLOSO,CIUDAD REAL,662,"20,3","0,0","14,1",Varias,"26,5",14:20,27,"2,5","10,6",14:50,"9,1","944,3",00,"939,1",24
31,2022-05-01,3175,TORREJÓN DE ARDOZ,MADRID,607,"16,7","0,7","8,1",05:30,"25,3",14:40,21,"3,9","10,3",12:30,"11,4","949,7",00,"943,1",23
32,2022-05-01,3129,MADRID AEROPUERTO,MADRID,609,"17,2","0,4","9,3",05:13,"25,2",13:58,24,"4,4","13,9",13:09,"10,2","953,1",00,"946,3",24
33,2022-05-01,4067,MADRIDEJOS,TOLEDO,690,"19,2","0,0","12,9",23:59,"25,6",14:20,,,,,"11,9","940,5",01,"934,7",24
34,2022-05-01,8501,CASTELLÓ DE LA PLANA,CASTELLON,23,,"2,0",,,,,,,,,,,,,
35,2022-05-01,C689E,MASPALOMAS,LAS PALMAS,6,,"0,0",,,,,24,"3,3","9,2",13:10,,,,,
36,2022-05-01,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,"15,7","0,0","12,3",04:45,"19,1",14:00,32,"3,3","8,3",14:49,"4,8","1022,5",00,"1018,4",24
37,2022-05-01,7031X,SAN JAVIER AEROPUERTO,MURCIA,4,"18,7","0,0","12,4",04:31,"25,0",12:59,03,"3,1","10,8",16:22,"10,9","1019,4",00,"1013,9",24
38,2022-05-01,7209,LORCA,MURCIA,312,"20,4","0,9","12,5",04:20,"28,4",13:40,19,"0,8","5,6",15:40,,,,,
39,2022-05-01,3519X,PLASENCIA,CACERES,415,"19,7","0,0","12,5",23:59,"26,9",15:40,04,"2,5","9,2",02:40,,,,,
40,2022-05-01,2755X,BENAVENTE,ZAMORA,715,"16,2","10,4","7,8",05:00,"24,6",16:10,27,"1,4","10,3",18:20,"10,3","939,1",00,"932,5",18
41,2022-05-01,8175,ALBACETE BASE AÉREA,ALBACETE,702,"16,9",Ip,"8,5",04:50,"25,3",14:20,32,"3,6","10,3",13:10,"9,7","939,5",00,"934,4",24
42,2022-05-01,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,626,"14,2","0,0","7,6",02:50,"20,9",15:00,29,"3,1","11,1",17:30,,,,,
43,2022-05-01,6277B,ADRA,ALMERIA,8,"19,2","0,0","16,3",05:40,"22,1",08:00,26,"3,1","8,9",11:00,,"1021,8",00,"1015,0",24
44,2022-05-01,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,353,"15,4","0,0","7,1",04:55,"23,6",14:40,,"3,3",,,"12,0","979,8",00,"974,0",Varias
45,2022-05-01,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,"20,4","0,0","18,3",05:00,"22,6",14:40,32,"2,8","8,1",17:20,,"1020,6",Varias,"1018,3",04
46,2022-05-01,9111,BELORADO,BURGOS,820,"12,0","0,0","5,0",04:40,"19,0",14:40,36,"2,2","6,7",16:00,,,,,
47,2022-05-01,5246,SANTA ELENA,JAEN,770,"18,4","1,0","11,9",05:50,"25,0",13:10,,,,,"8,0","932,8",00,"927,7",24
48,2022-05-01,7031,SAN JAVIER AEROPUERTO,MURCIA,4,"17,3","0,0","11,0",,"23,6",,,,,,"10,5",,,,
49,2022-05-01,5181D,ARROYO DEL OJANCO,JAEN,580,"18,7","4,2","12,2",04:00,"25,2",13:50,31,"3,1","10,8",16:10,,"947,1",10,"941,4",24
50,2022-05-01,B691Y,SA POBLA,ILLES BALEARS,40,"18,6","0,0","11,7",02:00,"25,5",13:00,18,"2,5","9,7",13:20,"7,9","1016,2",00,"1011,5",16
51,2022-05-01,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,"14,2","1,5","12,3",06:00,"16,1",14:20,02,"2,5","5,6",13:00,,"1018,4",00,"1014,9",24
52,2022-05-01,3260B,TOLEDO,TOLEDO,515,"20,2","0,0","14,6",05:50,"25,9",15:10,30,"4,2","11,7",14:50,"13,0","959,9",00,"953,9",24
53,2022-05-01,1249I,OVIEDO,ASTURIAS,336,"11,8",Ip,"10,0",06:15,"13,6",15:30,13,"1,9","4,2",15:20,"0,0","983,0",00,"979,6",24
54,2022-05-01,1283U,CABO BUSTO,ASTURIAS,60,"14,0","0,0","12,7",07:00,"15,2",15:00,26,"1,7","4,7",13:30,"0,0","1015,8",00,"1012,0",24
55,2022-05-01,C430E,IZAÑA,STA. CRUZ DE TENERIFE,2371,"11,6","0,0","7,2",00:20,"15,9",12:00,10,"3,6","7,5",10:40,"13,0","773,8",23,"771,8",Varias
56,2022-05-01,1083L,CASTRO URDIALES,CANTABRIA,45,"14,0","0,0","11,5",04:50,"16,4",13:50,32,"2,8","6,1",23:40,,,,,
