,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-11-01,4358X,DON BENITO,BADAJOZ,273,"18,2","0,0","13,8",23:59,"22,5",14:00,34,"0,8","4,4",13:00,"5,9","992,6",Varias,"989,7",00
1,2022-11-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"17,0","0,0","9,3",07:00,"24,7",14:30,,,,,,,,,
2,2022-11-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"19,6","0,0","14,8",Varias,"24,4",13:57,11,"2,8","6,7",14:17,"9,5","953,3",Varias,"950,6",04
3,2022-11-01,6106X,ANTEQUERA,MALAGA,408,"18,8","0,0","11,3",07:20,"26,3",14:50,31,"1,1","5,6",15:50,,"975,5",09,"972,1",15
4,2022-11-01,9698U,TALARN,LLEIDA,807,"13,0","0,0","8,4",06:00,"17,6",15:40,16,"1,7","4,4",12:40,,,,,
5,2022-11-01,4410X,MÉRIDA,BADAJOZ,228,"17,0","0,0","11,8",23:50,"22,3",12:30,28,"1,4","5,0",13:10,,,,,
6,2022-11-01,1331A,CASTROPOL,ASTURIAS,40,"14,9","0,0","10,1",02:20,"19,7",14:40,20,"3,1","12,8",12:50,,,,,
7,2022-11-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"14,0","0,0","7,9",23:59,"20,1",13:50,14,"1,9","7,8",11:50,"8,5","897,6",22,"894,0",02
8,2022-11-01,8025,ALACANT/ALICANTE,ALICANTE,81,"21,8","0,0","17,0",23:59,"26,5",12:10,06,"1,4","5,0",13:30,"9,0","1013,5",22,"1010,5",04
9,2022-11-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"23,1","0,0","20,3",07:30,"25,9",13:40,99,"3,3","7,2",Varias,"9,8","1019,1",11,"1016,4",04
10,2022-11-01,9784P,BIELSA,HUESCA,992,"11,6","0,0","6,9",08:20,"16,4",12:00,31,"0,6","3,1",15:40,"4,3","912,4",23,"908,4",01
11,2022-11-01,2331,BURGOS AEROPUERTO,BURGOS,891,"9,0","0,2","2,8",23:40,"15,3",14:30,25,"3,3","10,3",12:50,"5,3","923,9",23,"919,3",00
12,2022-11-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,4","0,0","12,7",06:28,"24,1",14:16,28,"1,1","6,7",22:40,"8,9","994,5",Varias,"990,3",00
13,2022-11-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"16,1","0,0","12,8",23:45,"19,4",13:00,03,"1,7","6,1",13:00,"8,0","1026,2",22,"1021,3",03
14,2022-11-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"19,6","0,0","15,3",23:59,"24,0",14:20,24,"2,2","6,1",14:00,,"1022,4",10,"1019,6",03
15,2022-11-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"13,7","0,0","8,5",07:02,"18,9",13:36,99,"2,8","8,9",Varias,"9,6","1010,3",Varias,"1005,6",00
16,2022-11-01,9394X,CALATAYUD,ZARAGOZA,582,"16,7","0,0","11,1",05:00,"22,3",14:20,26,"1,9","8,6",13:00,"5,9","957,2",23,"953,8",00
17,2022-11-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,31,"1,4","6,4",14:00,,"930,9",11,"928,2",00
