,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-10-01,4358X,DON BENITO,BADAJOZ,273,"19,5","0,0","10,4",05:40,"28,6",15:20,05,"0,8","5,0",14:00,"10,4","993,7",10,"988,7",00
1,2022-10-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"16,3",,"5,3",06:10,"27,3",14:10,,,,,,,,,
2,2022-10-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"18,4",Ip,"15,6",05:36,"21,1",12:43,32,"3,9","14,4",00:06,"6,9","949,1",Varias,"946,5",17
3,2022-10-01,6106X,ANTEQUERA,MALAGA,408,"15,6","0,0","7,8",06:40,"23,5",13:10,14,"2,8","11,4",18:00,,"977,1",23,"972,1",Varias
4,2022-10-01,9698U,TALARN,LLEIDA,807,"13,8","0,0","5,3",03:30,"22,3",14:30,22,"2,2","6,1",14:30,,,,,
5,2022-10-01,4410X,MÉRIDA,BADAJOZ,228,,"0,0",,,,,,,,,,,,,
6,2022-10-01,1331A,CASTROPOL,ASTURIAS,40,"20,0","0,0","15,3",06:30,"24,8",13:20,20,"1,9","9,2",09:20,,,,,
7,2022-10-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"14,6","0,0","5,3",04:10,"23,8",14:50,32,"1,7","8,6",00:30,"10,1","900,8",21,"892,5",00
8,2022-10-01,8025,ALACANT/ALICANTE,ALICANTE,81,"19,8","0,0","13,8",06:00,"25,9",11:00,99,"1,7","6,7",Varias,"11,2","1018,3",24,"1010,7",00
9,2022-10-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"24,0",Ip,"21,6",06:30,"26,4",16:00,34,"2,8","9,7",14:40,"8,3","1014,4",Varias,"1011,8",17
10,2022-10-01,9784P,BIELSA,HUESCA,992,"12,1","0,0","2,3",02:50,"21,9",13:40,17,"0,8","8,3",11:50,"5,0","914,9",23,"907,1",00
11,2022-10-01,2331,BURGOS AEROPUERTO,BURGOS,891,"13,6","0,0","3,8",01:40,"23,5",15:20,23,"2,8","11,9",13:20,"11,4","925,2",23,"919,5",00
12,2022-10-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,0","0,0","10,5",06:20,"25,4",16:00,30,"1,9","8,3",00:20,"11,5","995,8",24,"990,7",00
13,2022-10-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"18,8","0,0","14,8",Varias,"22,9",15:45,27,"3,9","9,2",11:01,"8,4","1026,4",24,"1019,7",00
14,2022-10-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"17,8","0,0","11,4",05:50,"24,1",11:30,09,"2,8","10,8",23:59,,"1025,6",22,"1020,0",00
15,2022-10-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"17,2","0,0","12,9",06:02,"21,6",Varias,24,"2,5","8,3",04:48,"9,9","1011,4",Varias,"1005,0",02
16,2022-10-01,9394X,CALATAYUD,ZARAGOZA,582,"15,8","0,0","4,9",06:10,"26,8",16:20,03,"0,8","4,7",17:20,"10,1","959,1",24,"953,9",01
17,2022-10-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,32,"1,4","5,8",16:00,,"933,3",24,"927,4",00
18,2022-10-01,1059X,PUNTA GALEA,BIZKAIA,90,,"0,1",,,,,15,"1,7","5,3",07:30,,"1017,3",21,"1010,3",03
19,2022-10-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"16,8","0,0","10,8",06:20,"22,7",Varias,33,"1,1","8,3",14:30,"9,0","1023,3",20,"1016,8",03
20,2022-10-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"18,5","0,0","11,1",06:10,"25,9",12:20,,,,,,"992,6",23,"985,5",00
21,2022-10-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"19,5","0,0","11,5",06:40,"27,5",13:50,19,"1,4","9,2",16:42,"10,0","1018,7",24,"1011,3",00
22,2022-10-01,7002Y,ÁGUILAS,MURCIA,26,"20,8","0,0","16,0",03:30,"25,5",12:30,14,"2,2","6,9",10:00,"11,3","1023,8",23,"1016,4",00
