,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
0,2022-09-01,4358X,DON BENITO,BADAJOZ,273,"24,1","0,0","16,8",06:00,"31,4",15:00,23,"2,5","8,3",16:00,"8,0","984,9",09,"982,3",Varias
1,2022-09-01,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,531,"21,8","0,0","12,2",05:50,"31,3",13:50,,,,,,,,,
2,2022-09-01,C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,632,"22,5","0,1","19,2",05:59,"25,8",11:47,99,"3,3","8,9",Varias,"0,2","949,4",Varias,"946,3",07
3,2022-09-01,6106X,ANTEQUERA,MALAGA,408,"24,5","0,0","16,6",06:50,"32,4",15:30,29,"1,4","8,1",16:10,,"969,0",09,"966,2",15
4,2022-09-01,9698U,TALARN,LLEIDA,807,"20,5","0,0","12,3",04:40,"28,7",15:20,18,"1,7","7,5",14:20,,,,,
5,2022-09-01,4410X,MÉRIDA,BADAJOZ,228,"23,3","0,0","13,9",06:20,"32,7",15:00,22,"2,2","8,6",17:10,,,,,
6,2022-09-01,1331A,CASTROPOL,ASTURIAS,40,"19,6","0,1","15,0",02:50,"24,1",10:00,99,"1,4","6,1",04:50,,,,,
7,2022-09-01,1690A,OURENSE,OURENSE,143,"20,6","0,0","13,7",06:00,"27,6",14:00,26,"1,4","7,5",14:40,"6,9","1000,5",00,"996,9",17
8,2022-09-01,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,1131,"19,6","0,0","12,3",06:00,"26,8",13:50,10,"3,1","10,6",13:50,"9,9","891,9",00,"889,0",Varias
9,2022-09-01,8025,ALACANT/ALICANTE,ALICANTE,81,"27,6","0,0","23,1",05:30,"32,0",12:10,14,"1,9","7,2",14:10,"8,8","1005,4",10,"1002,0",18
10,2022-09-01,C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,35,"25,4","0,6","23,2",02:30,"27,7",11:00,07,"1,7","7,2",19:50,"1,3","1014,1",22,"1009,9",08
11,2022-09-01,9784P,BIELSA,HUESCA,992,"17,9","0,0","9,5",04:50,"26,3",14:00,16,"1,1","8,1",13:00,"4,2","906,8",00,"902,6",15
12,2022-09-01,2331,BURGOS AEROPUERTO,BURGOS,891,"20,2","0,0","12,0",06:00,"28,3",16:30,23,"3,3","10,6",12:50,"11,8","917,5",00,"913,2",16
13,2022-09-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"26,6","0,0","19,9",05:30,"33,2",16:50,29,"1,7","8,3",04:30,"12,1","986,7",00,"980,6",Varias
14,2022-09-01,1109,SANTANDER AEROPUERTO,CANTABRIA,3,"22,1","3,2","19,0",Varias,"25,2",11:10,33,"1,4","5,3",11:20,"3,0","1018,5",00,"1014,8",13
15,2022-09-01,6293X,ROQUETAS DE MAR,ALMERIA,3,"25,6","0,0","21,3",06:10,"29,9",11:20,26,"4,4","11,7",15:10,"1,9","1014,4",00,"1011,2",17
16,2022-09-01,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,"18,6","0,1","15,0",05:07,"22,2",14:26,99,"3,1","7,2",Varias,"7,1","1003,0",00,"1000,7",06
17,2022-09-01,9394X,CALATAYUD,ZARAGOZA,582,"25,2","0,0","15,9",06:10,"34,6",16:10,06,"2,8","8,9",17:00,"12,1","949,6",00,"944,0",17
18,2022-09-01,3094B,TARANCÓN,CUENCA,808,,"0,0",,,,,21,"3,3","10,8",17:00,,"924,1",00,"921,0",17
19,2022-09-01,1059X,PUNTA GALEA,BIZKAIA,90,,"0,0",,,,,04,"1,9","7,2",13:50,,"1008,9",00,"1004,8",15
20,2022-09-01,1207U,"GIJÓN, CAMPUS",ASTURIAS,26,"19,2","0,0","14,0",05:40,"24,3",11:00,03,"1,9","6,4",16:10,"8,2","1014,9",00,"1012,2",11
21,2022-09-01,6367B,HUÉRCAL-OVERA,ALMERIA,300,"28,2","0,0","20,9",05:30,"35,6",10:20,,,,,,"979,9",00,"975,9",18
22,2022-09-01,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75,"28,8",Ip,"21,5",05:30,"36,0",12:55,14,"3,3","11,4",13:50,"8,1","1005,9",Varias,"1002,2",05
23,2022-09-01,7002Y,ÁGUILAS,MURCIA,26,"28,4","0,0","24,7",05:50,"32,0",10:40,18,"1,9","6,1",13:10,"8,8","1010,9",00,"1007,2",18
24,2022-09-01,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,"25,6","0,0","22,9",01:50,"28,3",17:00,01,"9,7","16,9",13:54,"2,7","1012,9",Varias,"1007,7",07
25,2022-09-01,3191E,COLMENAR VIEJO,MADRID,1004,"23,5","0,0","17,8",06:10,"29,2",15:10,21,"3,3","9,7",15:10,"11,6","904,2",00,"901,6",18
26,2022-09-01,0016A,REUS AEROPUERTO,TARRAGONA,71,"24,2","0,0","17,8",Varias,"30,7",13:13,99,"2,5","7,8",Varias,"9,7","1006,5",00,"1003,6",17
27,2022-09-01,0367,GIRONA AEROPUERTO,GIRONA,143,"23,5","0,0","14,2",04:52,"32,8",11:33,17,"4,7","12,5",14:51,"12,1","999,8",00,"996,4",16
